cell_line,cell_type,humagne_flasks,avana_flasks,humagne_virus,avana_virus
KARPAS299,suspension,2,4,8.8,44.1
CHLA06ATRT,semi-adherent,5,10,1.8,2.4
CH157MN,semi-adherent,8,13,19.4,29.48
NB1,adherent,5,16,3.3,21
DEL,suspension,3,4,19.968,14.6
NCIH841,adherent,4,8,3.8,24.2
SSP25,adherent,13,20,51,10.2
PATU8988S,adherent,4,,2.06,
SKES1,adherent,3,5,1,6.3
L363,suspension,3,4,1.6,9
HS683,adherent,6,17,3.8,9.1
OCUG1,adherent,7,10,3.952,1.9
KMS18,suspension,3,5,1.9,5.5
ZR751,adherent,5,15,1.9,5.4
D458,suspension,4,14,0.5,12
KU812,adherent,3,4,3,14
MC116,suspension,4,6,15.12,26.5